id,area,beds,baths,detail_url,image_urls,key_house
17013949,1409.0,3,2,https://www.zillow.com/homedetails/5404-Olive-St-C-San-Diego-CA-92105/17013949_zpid/,https://photos.zillowstatic.com/fp/9307ae1fe84c4c9ff7550fa586af6f5e-p_e.jpg,28
243180262,2136.0,3,3,https://www.zillow.com/homedetails/63551-Cobalt-Rd-Joshua-Tree-CA-92252/243180262_zpid/,https://photos.zillowstatic.com/fp/17d4d62e5d765e38f9c03bed2b9c1335-p_e.jpg,29
25604696,3017.0,4,3,https://www.zillow.com/homedetails/15-Westchester-Ct-Coto-De-Caza-CA-92679/25604696_zpid/,https://photos.zillowstatic.com/fp/9762ac73bdd6e3e9e8310eec5a9a18e6-p_e.jpg,30
145563954,0.0,2,1,https://www.zillow.com/homedetails/1855-E-Riverside-Dr-SPACE-252-Ontario-CA-91761/145563954_zpid/,https://photos.zillowstatic.com/fp/65b14485791c02b94acff998c45f3e18-p_e.jpg,31
17981225,1008.0,2,2,https://www.zillow.com/homedetails/840-S-Gilbert-St-Hemet-CA-92543/17981225_zpid/,https://photos.zillowstatic.com/fp/0c7263de172a930754ec20d3b8b69967-p_e.jpg,32
18039436,1920.0,3,2,https://www.zillow.com/homedetails/44607-Grovewood-Cir-Hemet-CA-92544/18039436_zpid/,https://photos.zillowstatic.com/fp/1937c73a433ee600b4fdf40d91820b97-p_e.jpg,33
61288497,866.0,2,2,https://www.zillow.com/homedetails/400-Alemany-Blvd-APT-22-San-Francisco-CA-94110/61288497_zpid/,https://photos.zillowstatic.com/fp/3ea7ff35ee2b5bbed1837fdcc6236817-p_e.jpg,34
25758223,1166.0,2,2,https://www.zillow.com/homedetails/16581-Grunion-10-Huntington-Beach-CA-92649/25758223_zpid/,https://photos.zillowstatic.com/fp/e7ddb2997efaf1ebc928c3958cfe3d6e-p_e.jpg,35
17767586,1732.0,4,3,https://www.zillow.com/homedetails/858-Pointe-Vista-Cir-Corona-CA-92881/17767586_zpid/,https://photos.zillowstatic.com/fp/4d58176ba1ef1d3ba387b9df597e7dc0-p_e.jpg,36
18974667,1745.0,3,2,https://www.zillow.com/homedetails/21405-Quail-Springs-Rd-Tehachapi-CA-93561/18974667_zpid/,https://photos.zillowstatic.com/fp/32ff84e47c253144674c017e84d99621-p_e.jpg,37
2055929596,385.0,1,1,https://www.zillow.com/homedetails/4399-Aplicella-Ct-60-Manteca-CA-95337/2055929596_zpid/,https://photos.zillowstatic.com/fp/d9cf57fc214bcac9955276899665e195-p_e.jpg,38
17884703,2017.0,4,3,https://www.zillow.com/homedetails/22811-Golden-Locust-Dr-Corona-CA-92883/17884703_zpid/,https://photos.zillowstatic.com/fp/5e486c8a86d29e496f74ff7a7220dfff-p_e.jpg,39
2057583706,1700.0,2,2,https://www.zillow.com/homedetails/1621-Wood-Lake-Santa-Ana-CA-92705/2057583706_zpid/,https://photos.zillowstatic.com/fp/83d69596b466b33deb17194c7a91a91f-p_e.jpg,40
69263619,2441.0,5,3,https://www.zillow.com/homedetails/3850-Salt-River-Ln-Perris-CA-92571/69263619_zpid/,https://photos.zillowstatic.com/fp/9a14700182011619852700be543765d9-p_e.jpg,41
